StudentID,CourseID,Phase,Grade
15,101,1,Passed
15,102,1,Passed
15,103,1,Passed
15,201,2,Passed
15,202,2,Passed
15,203,2,Falied
15,203,3,Falied
15,301,3,Passed
15,302,3,Passed
15,303,3,Falied
21,101,1,Passed
21,102,1,Passed
21,103,1,Passed
21,201,2,Passed
21,202,2,Failed
21,203,2,Passed
25,101,1,Passed
25,102,1,Passed
25,103,1,Passed
25,201,2,Passed
25,202,2,Passed
25,203,2,Passed
45,101,1,Passed
45,102,1,Passed
45,103,1,Failed
49,101,1,Passed
49,102,1,Passed
49,103,1,Passed
50,101,1,Passed
50,102,1,Passed
50,103,1,Passed